COIN|DENOMINATION|YEAR|ADDITIONAL_INFO|IS_GOLD|IS_SILVER

Indian Head or Buffalo|Nickel|1916|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1917|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1918|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1919|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1920|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1921|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1923|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1924|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1925|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1926|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1927|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1928|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1929|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1930|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1931|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1934|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1935|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1936|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1937|Variety 2 - FIVE CENTS in Recess|0|0

Indian Head or Buffalo|Nickel|1938|Variety 2 - FIVE CENTS in Recess|0|0

Jefferson|Nickel|1938||0|0

Jefferson|Nickel|1939||0|0

Jefferson|Nickel|1940||0|0

Jefferson|Nickel|1941||0|0

Jefferson|Nickel|1942||0|0

Jefferson|Nickel|1942|Wartime Silver Alloy|0|1

Jefferson|Nickel|1943|Wartime Silver Alloy|0|1

Jefferson|Nickel|1944|Wartime Silver Alloy|0|1

Jefferson|Nickel|1945|Wartime Silver Alloy|0|1

Jefferson|Nickel|1946|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1947|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1948|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1949|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1950|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1951|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1952|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1953|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1954|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1955|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1956|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1957|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1958|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1959|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1960|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1961|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1962|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1963|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1964|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1965|Prewar Composition, Mintmark Style Resumed|0|0

Jefferson|Nickel|1966||0|0

Jefferson|Nickel|1967||0|0

Jefferson|Nickel|1968||0|0

Jefferson|Nickel|1969||0|0

Jefferson|Nickel|1970||0|0

Jefferson|Nickel|1971||0|0

Jefferson|Nickel|1972||0|0

Jefferson|Nickel|1973||0|0

Jefferson|Nickel|1974||0|0

Jefferson|Nickel|1975||0|0

Jefferson|Nickel|1976||0|0

Jefferson|Nickel|1977||0|0

Jefferson|Nickel|1978||0|0

Jefferson|Nickel|1979||0|0

Jefferson|Nickel|1980||0|0

Jefferson|Nickel|1981||0|0

Jefferson|Nickel|1982||0|0

Jefferson|Nickel|1983||0|0

Jefferson|Nickel|1984||0|0

Jefferson|Nickel|1985||0|0

Jefferson|Nickel|1986||0|0

Jefferson|Nickel|1987||0|0

Jefferson|Nickel|1988||0|0

Jefferson|Nickel|1989||0|0

Jefferson|Nickel|1990||0|0

Jefferson|Nickel|1991||0|0

Jefferson|Nickel|1992||0|0

Jefferson|Nickel|1993||0|0

Jefferson|Nickel|1994||0|0

Jefferson|Nickel|1995||0|0

Jefferson|Nickel|1996||0|0

Jefferson|Nickel|1997||0|0

Jefferson|Nickel|1998||0|0

Jefferson|Nickel|1999||0|0

Jefferson|Nickel|2000||0|0

Jefferson|Nickel|2001||0|0

Jefferson|Nickel|2002||0|0

Jefferson|Nickel|2003||0|0

Jefferson|Nickel|2004|Westward Journey Nickels|0|0

Jefferson|Nickel|2005|Westward Journey Nickels|0|0

Jefferson|Nickel|2006|Westward Journey Nickels|0|0

Jefferson|Nickel|2007||0|0

Jefferson|Nickel|2008||0|0

Jefferson|Nickel|2009||0|0

Jefferson|Nickel|2010||0|0

Jefferson|Nickel|2011||0|0

Jefferson|Nickel|2012||0|0

Flowing Hair|Half Dime|1794||0|1

Flowing Hair|Half Dime|1795||0|1

